Mark_info;Model_info;Year;Price_segment;Transmission;Gear_type;Fuel_rate;Vendor_country;Region;Mileage;Horse_power;Owners_number;Body_type;PTS;Color_hex;Salon;Count_doors;Auto_class;Trunk_volume_min;Price_rub
Chevrolet;Aveo;2010;ECONOMY;MECHANICAL;FORWARD_CONTROL;5.5;AMERICAN;Санкт-Петербург;145000;84;3;HATCHBACK_5_DOORS;True;97948F;False;5;B;220;249900
Nissan;Wingroad;2005;MEDIUM;AUTOMATIC;FORWARD_CONTROL;6.6;JAPANESE;Знаменск;300000;105;3;WAGON_5_DOORS;True;FAFBFB;False;5;C;NaN;290000
Lexus;RX;2009;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;10.6;JAPANESE;Ростов-на-Дону;130881;277;3;ALLROAD_5_DOORS;True;22A0F8;True;5;J;496;1070000
Toyota;Corolla;2004;MEDIUM;MECHANICAL;FORWARD_CONTROL;7;JAPANESE;Москва;300000;110;3;SEDAN;False;CACECB;False;4;C;437;190000
Toyota;RAV4;2017;MEDIUM;AUTOMATIC;ALL_WHEEL_DRIVE;8.6;JAPANESE;Москва;64000;180;1;ALLROAD_5_DOORS;True;660099;False;5;J;577;1720000
Suzuki;SX4;2009;MEDIUM;AUTOMATIC;FORWARD_CONTROL;7.1;JAPANESE;Москва;150000;106;3;HATCHBACK_5_DOORS;True;660099;False;5;J;270;380000
Ford;Focus;2008;MEDIUM;MECHANICAL;FORWARD_CONTROL;7;AMERICAN;Санкт-Петербург;167000;125;3;HATCHBACK_5_DOORS;True;4A2197;False;5;C;282;270000
Audi;Q7;2019;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;6.3;EUROPEAN;Москва;0;249;NaN;ALLROAD_5_DOORS;True;FAFBFB;True;5;J;890;4354000
Hyundai;Solaris;2011;ECONOMY;AUTOMATIC;FORWARD_CONTROL;6.6;KOREAN;Королёв;110000;123;3;HATCHBACK_5_DOORS;True;97948F;False;5;B;370;415000
Toyota;Land Cruiser Prado;2007;PREMIUM;AUTOMATIC;ALL_WHEEL_DRIVE;12.3;JAPANESE;Москва;183266;249;3;ALLROAD_5_DOORS;True;040001;False;5;J;620;1049000
