Mark_info;Model_info;Year;Region;Vin_resolution;Mileage;Owners_number;Body_type;PTS;Color_hex;Salon;Count_doors;Auto_class;Trunk_volume_min;Price_rub
BMW;X5;2015;Москва;True;71000;2;ALLROAD_5_DOORS;True;040001;False;5;J;650;2750000
BMW;3 серия;2017;Сочи;True;27425;1;SEDAN;True;040001;False;4;D;480;1650000
BMW;X3;2020;Магнитогорск;NaN;0;NaN;ALLROAD_5_DOORS;True;0000CC;True;5;J;550;3980000
BMW;3 серия;1994;Москва;True;200000;3;COUPE;False;97948F;False;2;D;405;328000
BMW;5 серия;2006;Москва;True;230000;2;SEDAN;True;040001;False;4;E;520;480000
BMW;X5;2020;Москва;NaN;0;NaN;ALLROAD_5_DOORS;True;0000CC;True;5;J;645;5380000
BMW;X6;2013;Москва;True;110000;2;ALLROAD_5_DOORS;True;040001;False;5;J;570;2300000
BMW;6 серия;2011;Москва;True;112769;3;COUPE;False;FAFBFB;False;2;E;460;1350000
BMW;X6;2016;Краснодар;True;55000;2;ALLROAD_5_DOORS;True;040001;False;5;J;580;3200000
BMW;3 серия;2007;Санкт-Петербург;True;172152;3;SEDAN;False;040001;False;4;D;460;419000
BMW;5 серия;2018;Краснодар;True;22000;2;SEDAN;True;040001;False;4;E;530;3000000
BMW;X5;2008;Москва;True;200000;3;ALLROAD_5_DOORS;True;0000CC;False;5;J;620;645000
BMW;4 серия;2015;Москва;True;26200;2;COUPE;True;0000CC;False;2;D;445;1765000
BMW;1 серия;2011;Москва;True;165000;3;HATCHBACK_3_DOORS;True;040001;False;3;C;330;400000
BMW;X4;2020;Москва;NaN;0;NaN;ALLROAD_5_DOORS;True;FAFBFB;True;5;J;525;4110000
BMW;5 серия;2020;Москва;NaN;0;NaN;SEDAN;True;FAFBFB;True;4;E;530;4650000
BMW;X5;2003;Москва;True;245496;3;ALLROAD_5_DOORS;False;CACECB;False;5;J;465;449900
BMW;5 серия;2019;Санкт-Петербург;True;70000;1;SEDAN;True;040001;False;4;E;530;2149999
BMW;7 серия;2012;Санкт-Петербург;True;148000;2;SEDAN;True;040001;True;4;F;500;1099000
BMW;6 серия;2019;Санкт-Петербург;True;20000;1;LIFTBACK;True;0000CC;True;5;E;610;3149000
BMW;X5;2010;Санкт-Петербург;True;148000;3;ALLROAD_5_DOORS;False;FAFBFB;True;5;J;620;995000
BMW;X5;2011;Санкт-Петербург;True;164000;3;ALLROAD_5_DOORS;False;040001;True;5;J;620;999000
BMW;7 серия;2018;Санкт-Петербург;True;3650;1;SEDAN;True;040001;True;4;F;515;5370000
BMW;X3;2020;Химки;NaN;0;NaN;ALLROAD_5_DOORS;True;FAFBFB;True;5;J;550;3292800
