Mark_info;Model_info;Year;Region;Vin_resolution;Mileage;Owners_number;Body_type;PTS;Color_hex;Salon;Count_doors;Auto_class;Trunk_volume_min;Price_rub
LADA (ВАЗ);2121 (4x4);2002;Ворсма;True;93660;3;ALLROAD_3_DOORS;True;0000CC;False;3;J;265;85000
LADA (ВАЗ);Largus;2019;Нижний Новгород;True;33404;1;WAGON_5_DOORS;True;CACECB;False;5;C;135;535000
LADA (ВАЗ);Granta;2017;Нижний Новгород;True;28200;2;SEDAN;True;040001;False;4;B;480;365000
LADA (ВАЗ);Kalina;2010;Нижний Новгород;True;160000;3;SEDAN;True;FAFBFB;False;4;B;400;135000
LADA (ВАЗ);2121 (4x4);2011;Арзамас;True;74000;3;ALLROAD_3_DOORS;True;007F00;False;3;J;265;230000
LADA (ВАЗ);2112;2003;Нижний Новгород;True;219000;2;HATCHBACK_5_DOORS;True;007F00;False;5;B;399;103000
LADA (ВАЗ);Granta;2020;Дзержинск;NaN;0;NaN;HATCHBACK_5_DOORS;True;0000CC;True;5;B;240;571500
LADA (ВАЗ);2121 (4x4);1998;Дзержинск;True;165068;3;ALLROAD_3_DOORS;True;FF8649;False;3;J;265;65000
LADA (ВАЗ);Priora;2017;Нижний Новгород;True;152000;1;SEDAN;True;FAFBFB;True;4;B;430;319000
LADA (ВАЗ);Granta;2020;Нижний Новгород;NaN;0;NaN;LIFTBACK;True;EE1D19;True;5;B;435;550500
LADA (ВАЗ);Kalina;2011;Бутурлино;NaN;87000;1;WAGON_5_DOORS;False;040001;False;5;B;350;187000
LADA (ВАЗ);2121 (4x4);2016;Нижний Новгород;True;37000;3;ALLROAD_3_DOORS;True;007F00;False;3;J;265;335000
LADA (ВАЗ);2329;2016;Нижний Новгород;NaN;57000;2;PICKUP_TWO;True;FAFBFB;False;2;NaN;NaN;375000
LADA (ВАЗ);XRAY;2020;Нижний Новгород;NaN;0;NaN;HATCHBACK_5_DOORS;True;007F00;True;5;B;361;741900
LADA (ВАЗ);2114;2006;Нижний Новгород;True;27000;1;HATCHBACK_5_DOORS;True;97948F;False;5;B;330;160000
LADA (ВАЗ);Granta;2020;Нижний Новгород;NaN;0;NaN;SEDAN;True;040001;True;4;B;520;465900
LADA (ВАЗ);Granta;2014;Нижний Новгород;True;81257;3;SEDAN;True;0000CC;False;4;B;480;258000
LADA (ВАЗ);Largus;2016;Нижний Новгород;True;95218;1;WAGON_5_DOORS;True;C49648;False;5;C;135;468000
LADA (ВАЗ);Priora;2008;Нижний Новгород;False;200000;3;HATCHBACK_5_DOORS;True;CACECB;False;5;B;360;110000
LADA (ВАЗ);Granta;2020;Нижний Новгород;NaN;0;NaN;WAGON_5_DOORS;True;CACECB;True;5;B;360;498900
LADA (ВАЗ);2110;2003;Нижний Новгород;True;184663;3;SEDAN;True;CACECB;False;4;B;450;68000
LADA (ВАЗ);2114;2009;Нижний Новгород;True;126958;3;HATCHBACK_5_DOORS;True;97948F;False;5;B;330;88000
LADA (ВАЗ);Kalina;2012;Нижний Новгород;True;163000;3;WAGON_5_DOORS;True;040001;False;5;B;350;180000
LADA (ВАЗ);Granta;2016;Нижний Новгород;True;94178;1;LIFTBACK;True;040001;False;5;B;440;319990
LADA (ВАЗ);Kalina;2011;Нижний Новгород;True;140155;1;WAGON_5_DOORS;True;007F00;False;5;B;350;159990
